6.185,2.92,3.521
6.185,2.97,3.521
6.185,2.99,3.521
6.185,3.01,3.521
6.185,3.03,3.521
6.185,3.05,3.521
6.185,3.07,3.521
6.185,3.073,3.521
6.185,3.076,3.521
6.185,3.078,3.521
6.185,3.081,3.521
6.185,3.084,3.521
6.185,3.087,3.521
6.186,3.089,3.521
6.186,3.092,3.521
6.186,3.095,3.521
6.186,3.098,3.521
6.186,3.101,3.521
6.187,3.103,3.521
6.187,3.106,3.521
6.187,3.109,3.521
6.187,3.112,3.521
6.188,3.114,3.521
6.188,3.117,3.521
6.189,3.12,3.521
6.189,3.123,3.521
6.189,3.125,3.521
6.19,3.128,3.521
6.19,3.131,3.521
6.191,3.134,3.521
6.191,3.136,3.521
6.192,3.139,3.521
6.192,3.142,3.521
6.193,3.144,3.521
6.194,3.147,3.521
6.194,3.15,3.521
6.195,3.153,3.521
6.196,3.155,3.521
6.196,3.158,3.521
6.197,3.161,3.521
6.198,3.163,3.521
6.198,3.166,3.521
6.199,3.169,3.521
6.2,3.171,3.521
6.201,3.174,3.521
6.202,3.177,3.521
6.202,3.179,3.521
6.203,3.182,3.521
6.204,3.184,3.521
6.205,3.187,3.521
6.206,3.19,3.521
6.207,3.192,3.521
6.208,3.195,3.521
6.209,3.198,3.521
6.21,3.2,3.521
6.211,3.203,3.521
6.212,3.205,3.521
6.213,3.208,3.521
6.214,3.21,3.521
6.215,3.213,3.521
6.217,3.215,3.521
6.218,3.218,3.521
6.219,3.22,3.521
6.22,3.223,3.521
6.221,3.225,3.521
6.223,3.228,3.521
6.224,3.23,3.521
6.225,3.233,3.521
6.226,3.235,3.521
6.228,3.238,3.521
6.229,3.24,3.521
6.231,3.243,3.521
6.232,3.245,3.521
6.233,3.247,3.521
6.235,3.25,3.521
6.236,3.252,3.521
6.238,3.255,3.521
6.239,3.257,3.521
6.241,3.259,3.521
6.242,3.262,3.521
6.244,3.264,3.521
6.245,3.266,3.521
6.247,3.268,3.521
6.248,3.271,3.521
6.25,3.273,3.521
6.252,3.275,3.521
6.253,3.278,3.521
6.255,3.28,3.521
6.256,3.282,3.521
6.258,3.284,3.521
6.26,3.286,3.521
6.262,3.289,3.521
6.263,3.291,3.521
6.265,3.293,3.521
6.267,3.295,3.521
6.269,3.297,3.521
6.27,3.299,3.521
6.272,3.301,3.521
6.274,3.303,3.521
6.276,3.305,3.521
6.278,3.307,3.521
6.28,3.31,3.521
6.282,3.312,3.521
6.284,3.314,3.521
6.286,3.316,3.521
6.288,3.317,3.521
